Date,LMP,Node
1/18/2017 7:00:00 PM,30.24,.Z.CONNECTICUT
1/18/2017 7:00:00 PM,30.29,.Z.MAINE
1/18/2017 7:00:00 PM,30.19,.Z.NEMASSBOST
1/18/2017 7:00:00 PM,30.36,.Z.NEWHAMPSHIRE
1/18/2017 7:00:00 PM,29.91,.Z.RHODEISLAND
1/18/2017 7:00:00 PM,30.11,.Z.SEMASS
1/18/2017 7:00:00 PM,30.42,.Z.VERMONT
1/18/2017 7:00:00 PM,30.28,.Z.WCMASS
1/18/2017 8:00:00 PM,29.91,.Z.CONNECTICUT
1/18/2017 8:00:00 PM,29.97,.Z.MAINE
1/18/2017 8:00:00 PM,29.84,.Z.NEMASSBOST
1/18/2017 8:00:00 PM,29.99,.Z.NEWHAMPSHIRE
1/18/2017 8:00:00 PM,29.81,.Z.RHODEISLAND
1/18/2017 8:00:00 PM,29.81,.Z.SEMASS
1/18/2017 8:00:00 PM,29.91,.Z.VERMONT
1/18/2017 8:00:00 PM,29.95,.Z.WCMASS
1/18/2017 9:00:00 PM,29.34,.Z.CONNECTICUT
1/18/2017 9:00:00 PM,29.37,.Z.MAINE
1/18/2017 9:00:00 PM,29.35,.Z.NEMASSBOST
1/18/2017 9:00:00 PM,29.54,.Z.NEWHAMPSHIRE
1/18/2017 9:00:00 PM,29.42,.Z.RHODEISLAND
1/18/2017 9:00:00 PM,29.44,.Z.SEMASS
1/18/2017 9:00:00 PM,29.24,.Z.VERMONT
1/18/2017 9:00:00 PM,29.49,.Z.WCMASS
1/18/2017 10:00:00 PM,26.34,.Z.CONNECTICUT
1/18/2017 10:00:00 PM,25.75,.Z.MAINE
1/18/2017 10:00:00 PM,26.17,.Z.NEMASSBOST
1/18/2017 10:00:00 PM,26.17,.Z.NEWHAMPSHIRE
1/18/2017 10:00:00 PM,26.47,.Z.RHODEISLAND
1/18/2017 10:00:00 PM,26.32,.Z.SEMASS
1/18/2017 10:00:00 PM,25.91,.Z.VERMONT
1/18/2017 10:00:00 PM,26.39,.Z.WCMASS
1/18/2017 11:00:00 PM,19.36,.Z.CONNECTICUT
1/18/2017 11:00:00 PM,19.36,.Z.MAINE
1/18/2017 11:00:00 PM,19.35,.Z.NEMASSBOST
1/18/2017 11:00:00 PM,19.4,.Z.NEWHAMPSHIRE
1/18/2017 11:00:00 PM,19.52,.Z.RHODEISLAND
1/18/2017 11:00:00 PM,19.41,.Z.SEMASS
1/18/2017 11:00:00 PM,19.13,.Z.VERMONT
1/18/2017 11:00:00 PM,19.46,.Z.WCMASS
1/19/2017 12:00:00 AM,29.65,.Z.CONNECTICUT
1/19/2017 12:00:00 AM,28.63,.Z.MAINE
1/19/2017 12:00:00 AM,29.37,.Z.NEMASSBOST
1/19/2017 12:00:00 AM,29.22,.Z.NEWHAMPSHIRE
1/19/2017 12:00:00 AM,29.73,.Z.RHODEISLAND
1/19/2017 12:00:00 AM,29.53,.Z.SEMASS
1/19/2017 12:00:00 AM,28.88,.Z.VERMONT
1/19/2017 12:00:00 AM,29.68,.Z.WCMASS
1/19/2017 1:00:00 AM,27.11,.Z.CONNECTICUT
1/19/2017 1:00:00 AM,26.13,.Z.MAINE
1/19/2017 1:00:00 AM,26.82,.Z.NEMASSBOST
1/19/2017 1:00:00 AM,26.72,.Z.NEWHAMPSHIRE
1/19/2017 1:00:00 AM,27.14,.Z.RHODEISLAND
1/19/2017 1:00:00 AM,26.94,.Z.SEMASS
1/19/2017 1:00:00 AM,26.69,.Z.VERMONT
1/19/2017 1:00:00 AM,27.13,.Z.WCMASS
1/19/2017 2:00:00 AM,26.35,.Z.CONNECTICUT
1/19/2017 2:00:00 AM,25.35,.Z.MAINE
1/19/2017 2:00:00 AM,25.98,.Z.NEMASSBOST
1/19/2017 2:00:00 AM,25.9,.Z.NEWHAMPSHIRE
1/19/2017 2:00:00 AM,26.32,.Z.RHODEISLAND
1/19/2017 2:00:00 AM,26.11,.Z.SEMASS
1/19/2017 2:00:00 AM,25.84,.Z.VERMONT
1/19/2017 2:00:00 AM,26.32,.Z.WCMASS
1/19/2017 3:00:00 AM,26.34,.Z.CONNECTICUT
1/19/2017 3:00:00 AM,25.4,.Z.MAINE
1/19/2017 3:00:00 AM,25.96,.Z.NEMASSBOST
1/19/2017 3:00:00 AM,25.9,.Z.NEWHAMPSHIRE
1/19/2017 3:00:00 AM,26.3,.Z.RHODEISLAND
1/19/2017 3:00:00 AM,26.09,.Z.SEMASS
1/19/2017 3:00:00 AM,25.88,.Z.VERMONT
1/19/2017 3:00:00 AM,26.3,.Z.WCMASS
1/19/2017 4:00:00 AM,26.43,.Z.CONNECTICUT
1/19/2017 4:00:00 AM,25.88,.Z.MAINE
1/19/2017 4:00:00 AM,26.29,.Z.NEMASSBOST
1/19/2017 4:00:00 AM,26.23,.Z.NEWHAMPSHIRE
1/19/2017 4:00:00 AM,26.56,.Z.RHODEISLAND
1/19/2017 4:00:00 AM,26.37,.Z.SEMASS
1/19/2017 4:00:00 AM,26.07,.Z.VERMONT
1/19/2017 4:00:00 AM,26.52,.Z.WCMASS
1/19/2017 5:00:00 AM,29.6,.Z.CONNECTICUT
1/19/2017 5:00:00 AM,29.54,.Z.MAINE
1/19/2017 5:00:00 AM,29.7,.Z.NEMASSBOST
1/19/2017 5:00:00 AM,29.64,.Z.NEWHAMPSHIRE
1/19/2017 5:00:00 AM,29.93,.Z.RHODEISLAND
1/19/2017 5:00:00 AM,29.75,.Z.SEMASS
1/19/2017 5:00:00 AM,29.49,.Z.VERMONT
1/19/2017 5:00:00 AM,29.83,.Z.WCMASS
1/19/2017 6:00:00 AM,31.69,.Z.CONNECTICUT
1/19/2017 6:00:00 AM,32.19,.Z.MAINE
1/19/2017 6:00:00 AM,31.8,.Z.NEMASSBOST
1/19/2017 6:00:00 AM,32.01,.Z.NEWHAMPSHIRE
1/19/2017 6:00:00 AM,31.47,.Z.RHODEISLAND
